step,time_s,red_score,looming,visible,attack,mode,danger_score,forward_velocity,dragonfly_state
2265,0.22649999999999137,0.0,0.0,False,False,normal,0.0,9.288668688908684,rest
2266,0.22659999999999136,0.0,0.0,False,False,normal,0.0,9.288926098452563,rest
2267,0.22669999999999135,0.0,0.0,False,False,normal,0.0,9.28918628599279,rest
2268,0.22679999999999134,0.0,0.0,False,False,normal,0.0,9.289447927263256,rest
2269,0.22689999999999133,0.0,0.0,False,False,normal,0.0,9.289710654699588,rest
2270,0.22699999999999132,0.0,0.0,False,False,normal,0.0,9.289974763233085,rest
2271,0.2270999999999913,0.0,0.0,False,False,normal,0.0,9.290240835941825,rest
2272,0.2271999999999913,0.0,0.0,False,False,normal,0.0,9.290508196259534,rest
2273,0.2272999999999913,0.0,0.0,False,False,normal,0.0,9.290777034494628,rest
2274,0.22739999999999128,0.0,0.0,False,False,normal,0.0,9.291049507283576,rest
2275,0.22749999999999126,0.0,0.0,False,False,normal,0.0,9.291324508338345,rest
2276,0.22759999999999125,0.0,0.0,False,False,normal,0.0,9.291600554340848,rest
2277,0.22769999999999124,0.0,0.0,False,False,normal,0.0,9.291876989848824,rest
2278,0.22779999999999123,0.0,0.0,False,False,normal,0.0,9.292153927217171,rest
2279,0.22789999999999122,0.0,0.0,False,False,normal,0.0,9.292431900887214,rest
2280,0.2279999999999912,0.0,0.0,False,False,normal,0.0,9.292711502199731,rest
2281,0.2280999999999912,0.0,0.0,False,False,normal,0.0,9.292993160994117,rest
2282,0.2281999999999912,0.0,0.0,False,False,normal,0.0,9.293275848853167,rest
2283,0.22829999999999118,0.0,0.0,False,False,normal,0.0,9.29355803128944,rest
2284,0.22839999999999117,0.0,0.0,False,False,normal,0.0,9.293839310520141,rest
2285,0.22849999999999115,0.0,0.0,False,False,normal,0.0,9.29412024453971,rest
2286,0.22859999999999114,0.0,0.0,False,False,normal,0.0,9.29440178853583,rest
2287,0.22869999999999113,0.0,0.0,False,False,normal,0.0,9.294684835374474,rest
2288,0.22879999999999112,0.0,0.0,False,False,normal,0.0,9.294969956886181,rest
2289,0.2288999999999911,0.0,0.0,False,False,normal,0.0,9.295257297845456,rest
2290,0.2289999999999911,0.0,0.0,False,False,normal,0.0,9.295545296324471,rest
2291,0.2290999999999911,0.0,0.0,False,False,normal,0.0,9.295832729797674,rest
